,0
78,"jaimeThere was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
79,cerseiWhat if Jon Arryn told someone?
80,jaimeBut who would he tell?
81,cerseiMy husband.
82,"jaimeIf he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
83,cerseiYou should be the Hand of the king.
84,"jaimeThat's an honor I can do without. Their days are too long, their lives are too short."
85,catelynAll these years and I still feel like an outsider when I come here.
86,eddardYou have five northern children. You're not an outsider.
87,catelynI wonder if the old gods agree.
88,eddardIt's your gods with all the rules.
89,"catelynI am so sorry, my love."
90,eddardTell me.
91,catelynThere was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
92,eddardYour sister. The boy …
93,catelynThey both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
94,"eddardHe's coming this far North, there's only one thing he's after."
95,"catelynYou can always say no, Ned."
96,catelynWe need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
97,maesterI'm told he drinks all night.
98,catelynHow much could he possibly drink? A man of his … stature.
99,luwinWe've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
100,"catelynIn any case, candles."
101,jonWhy's your mother so dead-set on us getting pretty for the king?
102,"theonIt's for the queen, I bet. I hear she's [sleek as a mink?]"
103,robbI hear the prince is a right royal prick.
104,theonThink of all those southern girls he gets to stab with his right royal prick.
105,"robbGo on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
106,"catelynGods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
107,branI saw the king! He's got hundreds of people!
108,catelynHow many times have I told you
109,branBut he's coming right now! Down our road!
110,catelynI want you to promise me
111,branI promise.
112,catelynD'you know what?
113,branWhat?
114,catelynYou always look at your feet before you lie. Run and find your father. Tell him the king is close.
115,"catelynWhere's Arya? Sansa, where's your sister?"
116,"eddardHey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]"
117,aryaMove!
118,eddardYour Grace.
119,robertYou've got fat.
120,robertCat!
121,catelynYour Grace.
122,robertNine years. Why haven't I seen you? Where the hell have you been?
123,"eddardGuarding the North for you, Your Grace. Winterfell is yours."
124,aryaWhere's the Imp?
125,sansaWill you shut up?
126,"robertWho have we here? You must be Robb. My, you're a pretty one. Your name is?"
127,aryaArya.
128,robertOoh. Show us your muscles. You'll be a soldier.
129,aryaThat's Jaime Lannister. The queen's twin brother.
130,sansaWould you please shut up.
131,eddardMy queen.
132,catelynMy queen.
133,robertTake me to your crypt. I want to pay my respects.
134,"cerseiWe've been riding for a month, my love. Surely the dead can wait."
135,robertNed.
136,cerseiWhere is our brother? Go find the little beast.
137,eddardTell me about Jon Arryn.
138,"robertOne minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
139,eddardWe both did.
140,"robertHe never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
141,eddardAye.
142,"robertDon't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
143,eddardI'm not worthy of the honor.
144,"robertI'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses."
145,tyrionMmh. It is true what they say about the Northern girls.
146,rosDid you hear the king's in Winterfell?
147,tyrionI did hear something about that.
148,rosAnd the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
149,tyrionAnd the other brother?
150,rosThe queen has two brothers?
151,tyrionThere's the pretty one. And there's the clever one.
152,rosI hear they call him the Imp.
153,tyrionI hear he hates that nickname.
154,rosOh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.
155,tyrionClever girl.
156,"rosWe've been expecting you, Lord Tyrion."
157,tyrionHave you?
158,tyrionThe gods gave me one blessing.
159,jaimeDon't get up.
160,rosM'lord.
161,"tyrionShould I explain to you the meaning of a closed door in a whorehouse, brother?"
162,"jaimeYou've much to teach me, no doubt. But our sister craves your attention."
163,"tyrionShe has odd cravings, our sister."
164,"jaimeA family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
165,"tyrionI'm sorry, I've begun the feast a bit early. And this is the first of many courses."
166,"jaimeI thought you might say that. But since we're short on time, Come on, girls. See you at sundown."
167,tyrionClose the door!
168,robertDid you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
169,eddardShe was my sister. This is where she belongs.
170,robertShe belonged with me.
171,"robertIn my dreams, I kill him every night."
172,"eddardIt's done, Your Grace. The Targaryens are gone."
173,robertNot all of them.
174,viserysDaenerys!
175,viserysDaenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?
176,daenerysWe've been his guests for over a year and he's never asked us for anything.
177,"viserysIllyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?"
178,daenerysNo.
179,"viserysWhen they write the history of my reign, sweet sister, they will say it began today."
180,"maidIt's too hot, my lady."
181,viserysWhere is he?
182,illyrioThe Dothraki are not known for their punctuality.
183,"illyrioMay I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
184,"viserysDo you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen."
185,"illyrioCome forward, my dear."
186,viserysWhere's he going?
187,illyrioThe ceremony is over.
188,viserysBut he didn't say anything. Did he like her?
189,"illyrioTrust me, Your Grace. If he didn't like her, we'd know."
190,illyrioIt won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.
191,viserysWhen will they be married?
192,illyrioSoon. The Dothraki never stay still for long.
193,viserysIs it true they lie with their horses?
194,illyrioI wouldn't ask Khal Drogo.
195,viserysDo you take me for a fool?
196,illyrioI take you for a king. Kings lack the caution of common men. My apologies if I've given offense.
197,viserysI know how to play a man like Drogo. I give him a queen and he gives me an army.
198,daenerysI don't want to be his queen. I want to go home.
199,"viserysSo do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
200,daenerysI don't know.
201,"viserysWe go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took."
202,sansaDo you think Joffrey will like me? What if he thinks I'm ugly?
203,catelynThen he is the stupidest prince that ever lived.
204,sansaHe's so handsome.
205,sansaWhen would we be married? Soon or do we have to wait?
206,catelynHush now. Your father hasn't even said yes.
207,sansaWhy would he say no? He'd be the second most powerful man in the kingdoms.
208,catelynHe'd have to leave home. He'd have to leave me. And so would you.
209,sansaYou left your home to come here. And I'd be queen someday. Please make father say yes.
210,catelynSansa…
211,"sansaPlease, please. It's the only thing I ever wanted."
212,benjenIs he dead yet?
213,jonUncle Benjen!
214,benjenYou got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?
215,jonLady Stark thought it might insult the royal family to seat a bastard in their midst.
216,"benjenWell, you're always welcome on the wall. No bastard was ever refused a seat there."
217,jonSo take me with you when you go back.
218,benjenJon…
219,"jonFather will let me if you ask him, I know he will."
220,benjenThe Wall isn't going anywhere.
221,jonI'm ready to swear your oath.
222,benjenYou don't understand what you'd be giving up. We have no families. None of us will ever father sons.
223,jonI don't care about that.
224,"benjenYou might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later."
225,tyrionYour uncle's in the Night's Watch.
226,jonWhat're you doing back there?
227,tyrionPreparing for a night with your family. I've always wanted to see the Wall.
228,jonYou're Tyrion Lannister. The queen's brother?
229,"tyrionMy greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
230,"tyrionDid I offend you? Sorry. You are the bastard, though."
231,jonLord Eddard Stark is my father.
232,"tyrionAnd Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
233,jonWhat the hell do you know about being a bastard?
234,tyrionAll dwarves are bastards in their fathers' eyes.
235,benjenYou at a feast -- It's like a bear in a trap.
236,eddardThe boy I beheaded. Did you know him?
237,"benjenOf course I did. Just a lad. But he was tough, Ned. A true Ranger."
238,eddardHe was talking madness. Said the Walkers slaughtered his friends.
239,benjenThe two he was with are still missing.
240,eddardA wildling ambush.
241,benjenMaybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
242,eddardWinter is coming.
243,robbUncle Benjen.
244,benjenRobb boy. How are ye?
245,robbI'm good.
246,"catelynIs this your first time in the North, Your Grace?"
247,cerseiYes. Lovely country.
248,"catelynI'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
249,"cerseiHello, little dove. But you are a beauty. How old are you?"
250,"sansaThirteen, Your Grace."
251,cerseiYou're tall. Still growing?
252,"sansaI think so, Your Grace."
253,cerseiAnd have you bled yet?
254,"sansaNo, Your Grace."
255,cerseiAnd your dress. Did you make it?
256,cerseiSuch talent. You must make something for me.
257,cerseiI hear we might share a grandchild someday.
258,catelynI hear the same.
259,cerseiYour daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.
260,eddardYour pardon.
261,jaimeI hear we might be neighbors soon. I hope it's true.
262,"eddardYes, the king has honored me with his offer."
263,"jaimeI'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
264,eddardI don't fight in tournaments.
265,jaimeNo? Getting a little old for it?
266,"eddardI don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do."
267,jaimeWell said.
268,sansaArya!
269,robbTime for bed.
270,"eddardI'm a Northman. I belong here with you, not down south in that rat's nest they call a capital."
271,catelynI won't let him take you.
272,eddardThe king takes what he wants. That's why he's king.
273,"catelynI'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'"
274,eddardHow did he get so fat?
275,catelynHe only stops eating when it's time for a drink.
276,"aIt's Maester Luwin, my lord."
277,eddardSend him in.
278,"luwinPardon, my lord, my lady. A rider in the night from your sister."
279,eddardStay.
280,catelynThis was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.
281,eddardWhat news?
282,catelynShe's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
283,"eddardShe's fresh widowed, Cat. She doesn't know what she's saying."
284,"catelynLysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?"
285,"luwinIf this news is true, and the Lannisters conspire against the throne, who but you can protect the king?"
286,catelynThey murdered the last Hand. Now you want Ned to take the job.
287,"luwinThe king rode for a month to ask Lord Stark's help. He's the only one he trusts. You swore the king an oath, my lord."
288,catelynHe spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.
289,luwinA different time. Different king.
290,viserysWhen do I meet with the Khal? We need to begin planning the invasion.
291,"illyrioIf Khal Drogo has promised you a crown, you shall have it."
292,viserysWhen?
293,illyrioWhen their omens favor war.
294,viserysI piss on Dothraki omens. I waited 17 years to get my throne back.
295,illyrioA Dothraki wedding without at least three deaths is considered a dull affair.
296,jorahA small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
297,"daenerysThank you, ser. Are you from my country?"
298,"jorahSer Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
299,"illyrioDragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful."
300,"daenerysThank you, Magister."
301,"daenerysShe's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki."
302,jorahThere is no word for ‘thank you' in Dothraki.
303,viserysMake him happy.
304,khalNo.
305,daenerysDo you know the Common Tongue?
306,daenerysIs ‘no' the only word that you know?
307,"sandorRough night, Imp?"
308,"tyrionIf I get through this without squirting from one end or the other, it will be a miracle."
309,sandorI didn't pick you for a hunter.
310,tyrionThe greatest in the land. My spear never misses.
311,sandorIt's not hunting if you pay for it.
312,robertAre you as good with a spear as you used to be?
313,"eddardNo, but I'm still better than you."
314,robertI know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.
315,eddardI hope I'll serve you well.
316,"robertYou will. And I'll make sure you don't look so fucking grim all the time. Come on, boys, let's go kill some boar!"
317,"branCome on, you."
318,cerseiStop. STOP.
319,jaimeAre you completely mad?
320,cerseiHe saw us.
321,jaimeIt's all right. It's all right.
322,cerseiHe saw us!
323,"jaimeI heard you the first time. Quite the little climber, aren't you? How old are you, boy?"
324,branTen
325,jaimeTen.
326,jaimeThe things I do for love.
327,"jorahYou need to drink, child... And eat."
328,daenerysIsn't there anything else?
329,jorahThe Dothraki have two things in abundance
330,doreahKhaleesi!
331,irriYour hands.
332,"jorahWe're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there."
333,viserysI have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.
334,"jorahAs you wish, your Grace."
335,"viserysWell, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?"
336,jorahSelling to one... Some poachers I caught on my land.
337,"viserysUnder my reign, you won't be punished for such nonsense. You can rest assured of that."
338,"joffreyBetter-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today."
339,"tyrionBefore you go, you will call on Lord and Lady Stark and offer your sympathies."
340,joffreyWhat good will my sympathies do them?
341,tyrionNone. But it is expected of you. Your absence has already been noted.
342,joffreyThe boy means nothing to me. And I can't stand the wailing of women.
343,tyrionOne word and I'll hit you again.
344,joffreyI'm telling mother!
345,"tyrionGo! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?"
346,joffreyYou can't...
347,tyrionDo you understand?
348,"sandorThe Prince will remember that, little lord."
349,"tyrionI hope so. If he forgets, be a good dog and remind him. Time for breakfast..."
350,"tyrionBread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black."
351,jaimeLittle brother.
352,tyrionBeloved siblings.
353,myrcellaIs Bran going to die?
354,tyrionApparently not.
355,cerseiWhat do you mean?
356,tyrionThe Maester says the boy may live.
357,"cerseiIt's no mercy, letting a child linger in such pain."
358,tyrionOnly the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.
359,cerseiI still can't believe you're going. It's ridiculous even for you.
360,"tyrionWhere's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers."
361,jaimeTell me you're not thinking of taking the black.
362,tyrionAnd go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.
363,cerseiThe children don't need to hear your filth. Come.
364,"jaimeEven if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day."
365,"tyrionSpeaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say."
366,"jaimeMy dear brother, there are times you make me wonder whose side you're on."
367,"tyrionMy dear brother, you wound me. You know how much I love my family."
368,cerseiPlease.
369,"catelynI would have dressed, your Grace."
370,"cerseiThis is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now."
371,catelynI never knew.
372,"cerseiIt was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you."
373,catelynI am grateful..
374,cerseiPerhaps this time she'll listen.
375,jaimeA sword for the wall?
376,jonI already have one.
377,jaimeGood man. Have you swung it yet?
378,jonOf course I have.
379,"jaimeAt someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us."
380,jonWe've guarded the Kingdoms for 8 000 years.
381,"jaimeIs it ""we"" already? Have you taken your vows then?"
382,jonSoon enough.
383,"jaimeGive my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life."
384,"aryaThank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway."
385,jonIt's good you've got help.
386,"aryaWatch. Nymeria, gloves."
387,jonImpressive.
388,"aryaShut up. Nymeria, gloves!"
389,jonI have something for you. And it has to be packed very carefully.
390,aryaA present?
391,jonClose the door. This is no toy. Be careful you don't cut yourself.
392,aryaIt's so skinny.
393,"jonSo are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough."
394,aryaI can be quick.
395,jonYou'll have to work at it every day. How does it feel? Do you like the balance?
396,aryaI think so.
397,jonFirst lesson
398,aryaI know which end to use.
399,"jonI'm going to miss you... Careful... All the best swords have names, you know."
400,aryaSansa can keep her sewing needles. I've got a needle of my own.
401,jonI came to say goodbye to Bran.
402,catelynYou've said it.
403,"jonI wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid."
404,catelynI want you to leave.
405,catelyn17 years ago you rode off with Robert Baratheon. You came back a year later with another woman's son. And now you're leaving again.
406,eddardI have no choice.
407,"catelynThat's what men always say when honor calls. That's what you tell your families, tell yourselves. You do have a choice. And you've made it. I can't do it, Ned. I really can't."
408,eddardYou can. You must.
409,robbYou've said goodbye to Bran? He's not going to die. I know it.
410,jonYou Starks are hard to kill.
411,robbMy mother?
412,jonShe was very kind.
413,"robbGood. Next time I see you, you'll be all in black."
414,jonIt was always my color.
415,"robbFarewell, Snow."
416,"jonAnd you, Stark."
417,"eddardThere's great honor serving in the Night's Watch. The Starks have manned the Wall for thousands of years. And you are a Stark. You might not have my name, but you have my blood."
418,"jonIs my mother alive? Does she know about me? Where I am, where I'm going? Does she care?"
419,"eddardThe next time we see each other, we'll talk about your mother. I promise."
420,"robertGods, this is country! I've half a mind to leave them all behind and keep going."
421,eddardI've half a mind to go with you.
422,"robertWhat do you say, just you and me on the Kingsroad, swords at our sides, a couple of tavern wenches to warm our beds tonight."
423,eddardYou should have asked me 20 years ago.
424,"robertThere were wars to fight, women to marry... We never had the chance to be young."
425,eddardI recall a few chances.
426,"robertThere was that one... Oh, what was her name? That common girl of yours? Becca? With the great big tits you could bury your face in."
427,eddardBessie. She was one of yours.
428,robertBessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?
429,eddardWylla.
430,robertThat's it. She must have been a rare wench to make Lord Eddard Stark forget his honor. You never told me what she looked like.
431,eddardNor will I.
432,"robertWe were at war. None of us knew if we were gonna go back home again. You're too hard on yourself. You always have been. I swear if I weren't your King, you'd have hit me already."
433,eddardThe worst thing about your coronation... I'll never get to hit you again.
434,"robertTrust me, that's not the worst thing. There was a rider in the night."
435,eddardDaenerys Targaryen has wed some Dothraki horselord. What of it? Should we send her a wedding gift?
436,"robertA knife perhaps, a good sharp one, and a bold man to wield it."
437,eddardShe's little more than a child.
438,robertSoon enough that child will spread her legs and start breeding.
439,eddardTell me we're not speaking of this.
440,"robertOh, it's unspeakable to you? What her father did to your family... That was unspeakable. What Rhaegar Targaryen did to your sister... the woman I loved. I'll kill every Targaryen I get my hands on."
441,"eddardBut you can't get your hands on this one, can you?"
442,"robertThis Khal Drogo, it's said he has 100,000 men in his horde."
443,"eddardEven a million Dothraki are no threat to the realm, as long as they remain on the other side of the Narrow Sea. They have no ships, Robert."
444,"robertThere are still those in the Seven Kingdoms who call me Usurper. If the Targaryen boy crosses with a Dothraki horde at his back, the scum will join him."
445,"eddardHe will not cross. And if by chance he does, we'll throw him back into the sea."
446,"robertThere's a war coming, Ned. I don't know when, I don't know who we'll be fighting, but it's coming."
447,benjenSit. You'll be fed. Untie them.
448,tyrionRapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.
449,jonWhy do you read so much?
450,tyrionLook at me and tell me what you see.
451,jonIs this a trick?
452,"tyrionWhat you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years."
453,jonUntil your brother killed that King.
454,"tyrionYes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?"
455,"jonAsk me nicely and maybe I'll tell you, dwarf."
456,"tyrionA bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms."
457,jonThe Night's Watch protects the realm from...
458,"tyrionYes yes, against grumpkins and snarks and all the other monsters your wet nurse warned you about. You're a smart boy. You don't believe that nonsense... Everything's better with some wine in the belly."
459,"maesterIt's time we reviewed the accounts, my lady. You'll want to know how much this royal visit has cost us."
460,catelynTalk to Poole about it.
461,"maesterPoole went south with Lord Stark, my lady. We need a new steward, and there are several other appointments that require our immediate attention..."
462,catelynI don't care about appointments!
463,robbI'll make the appointments. We'll talk about it first thing in the morning.
464,"maesterVery good, my Lord. My Lady."
465,robbWhen was the last time you left this room?
466,catelynI have to take care of him.
467,"robbHe's not going to die, mother. Maester Luwin says the most dangerous time has passed."
468,catelynWhat if he's wrong? Bran needs me.
469,"robbRickon needs you. He's six. He doesn't know what's happening. He follows me around all day, clutching my leg, crying..."
470,catelynClose the windows! I can't stand it! Please make them stop!
471,robbFire. You stay here. I'll come back.
472,assassinYou're not supposed to be here. No one is supposed to be here. It's a mercy. He's dead already.
473,catelynNo!
474,daenerysHave you ever seen a dragon?
475,"irriDragon gone, Khaleesi."
476,daenerysEverywhere? Even in the east?
477,irriNo dragon. Brave men kill them. It is known.
478,jhiquiIt is known.
479,doreahA trader from Garth told me that dragons come from the moon.
480,daenerysThe moon?
481,"doreahHe told me the moon was an egg, Khaleesi, that once there were two moons in the sky. But one wandered too close to the sun and it cracked from the heat. Out of it poured a thousand thousand dragons and they drank the sun's fire."
482,irriMoon is no egg. Moon is goddess... wife of sun. It is known.
483,daenerysLeave me with her. Why did the trader from Garth tell you these stories?
484,"doreahMen like to talk when they're happy. Before your brother bought me for you, it was my job to make men happy."
485,daenerysHow old were you?
486,doreahI was nine when my mother sold me to the pleasure house.
487,daenerysNine?!
488,"doreahI did not touch a man for three years, Khaleesi. First you must learn."
489,daenerysCan you teach me how to make the Khal happy?
490,doreahYes.
491,daenerysWill it take three years?
492,doreahNo.
493,benjenWelcome.
494,catelynWhat I am about to tell you must remain between us. I don't think Bran fell from that tower. I think he was thrown.
495,maesterThe boy was always sure-footed before.
496,catelynSomeone tried to kill him twice. Why? Why murder an innocent child? Unless he saw something he wasn't meant to see.
497,"theonSaw what, my lady?"
498,catelynI don't know. But I would stake my life the Lannisters are involved. We already have reason to suspect their loyalty to the crown.
499,"rodrickDid you notice the dagger the killer used? It's too fine a weapon for such a man. The blade is Valyrian steel, the handle dragonbone. Someone gave it to him."
500,robbThey come into our home and try to murder my brother? If it's war they want...
501,"theonIf it comes to that, you know I'll stand behind you."
502,"maesterWhat, is there going to be a battle in the Godswood? Too easily words of war become acts of war. We don't know the truth yet. Lord Stark must be told of this."
503,catelynI don't trust a raven to carry these words.
504,robbI'll ride to King's Landing.
505,catelynNo. There must always be a Stark in Winterfell. I will go myself.
506,"robbMother, you can't."
507,catelynI must.
508,rodrickI'll send Hal with a squad of guardsmen to escort you.
